User,Project,Library,Sample
YanTing,Pituitary,YT101023_TKR181000294_HNG3VCCXY_L5,YT101023
YanTing,Pituitary,YT200111-L101_FKDL202555913-1a,YT200111-L101
YanTing,Pituitary,YT19070309_FKDL190747120-1a,YT19070309
YanTing,Pituitary,YT101014_TKR181000286_HNG3VCCXY_L3,YT101014
YanTing,Pituitary,YT19070301_FKDL190747112-1a,YT19070301
YanTing,Pituitary,YT041103_TKD181200871,YT041103
YanTing,Pituitary,YT081603_TKR180801075_HTGTLCCXY_L6,YT081603
YanTing,Pituitary,YT040403_TKR180400243_HL72FCCXY_L4,YT040403
YanTing,Pituitary,YT081608_TKR180801080_HTGTLCCXY_L7,YT081608
YanTing,Pituitary,YT101019_TKR181000290_HNG3VCCXY_L4,YT101019
YanTing,Pituitary,YT101012_TKR181000284_HNG3VCCXY_L4,YT101012
YanTing,Pituitary,YT013103_TKR180105124_HHWWYCCXY_L3,YT013103
YanTing,Pituitary,YT041101_TKD181200869,YT041101
YanTing,Pituitary,YT040406-2_FKDL190725016-1a,YT040406-2
YanTing,Pituitary,YT081601_TKR180801073_HTGTLCCXY_L6,YT081601
YanTing,Pituitary,YT191226-L92_FKDL192551836-1a,YT191226-L92
YanTing,Pituitary,YT042707_TKR180401982,YT042707
YanTing,Pituitary,YT050905_TKR180500511,YT050905
YanTing,Pituitary,YT032203_HL3MJCCXY_L7,YT032203
YanTing,Pituitary,YT191220-L84_FKDL192549745-1a-AK4676,YT191220-L84
YanTing,Pituitary,YT19070304_FKDL190747115-1a,YT19070304
YanTing,Pituitary,YT101036_TKR181000301_HNG3VCCXY_L6,YT101036
YanTing,Pituitary,YT191226-L97_FKDL192551841-1a,YT191226-L97
YanTing,Pituitary,YT191226-S17_FKDL192551835-1a,YT191226-S17
YanTing,Pituitary,YT19070314_FKDL190747125-1a,YT19070314
YanTing,Pituitary,YT101017_TKR181000288_HNG3VCCXY_L3,YT101017
YanTing,Pituitary,YT19070305_FKDL190747116-1a,YT19070305
YanTing,Pituitary,YT050906_TKR180500512,YT050906
YanTing,Pituitary,YT19070316_FKDL190747127-1a,YT19070316
YanTing,Pituitary,YT200111-L104_FKDL202555916-1a,YT200111-L104
YanTing,Pituitary,YT191220-S10_FKDL192549735-1a-17,YT191220-S10
YanTing,Pituitary,YT191220-L88_FKDL192549749-1a-26,YT191220-L88
YanTing,Pituitary,YT081605_TKR180801077_HTGTLCCXY_L6,YT081605
YanTing,Pituitary,YT191226-L98_FKDL192551842-1a,YT191226-L98
YanTing,Pituitary,YT101022_TKR181000293_HNG3VCCXY_L5,YT101022
YanTing,Pituitary,YT19021512_FKDL190725007-1a,YT19021512
YanTing,Pituitary,YT040405_TKR180400245_HL5JGCCXY_L5,YT040405
YanTing,Pituitary,YT19070319_FKDL190747130-1a,YT19070319
YanTing,Pituitary,YT200111-L102_FKDL202555914-1a,YT200111-L102
YanTing,Pituitary,YT101035_TKR181000300_HNG3VCCXY_L6,YT101035
YanTing,Pituitary,YT081611_TKR180801083_HTGTLCCXY_L8,YT081611
YanTing,Pituitary,YT19021516_FKDL190725011-1a,YT19021516
YanTing,Pituitary,YT191226-L93_FKDL192551837-1a,YT191226-L93
YanTing,Pituitary,YT200111-L105_FKDL202555917-1a,YT200111-L105
YanTing,Pituitary,YT101037_TKR181000302_HNG3VCCXY_L6,YT101037
YanTing,Pituitary,YT081604_TKR180801076_HTGTLCCXY_L6,YT081604
YanTing,Pituitary,YT19070307_FKDL190747118-1a,YT19070307
